[2019/10/04 07:24:21]-Info	db:rz_00355 ROW_EFFECT:0
[2019/10/04 07:24:22]-Info	db:rz_00356 ROW_EFFECT:0
[2019/10/04 07:24:22]-Info	db:rz_00357 ROW_EFFECT:0
[2019/10/04 07:24:23]-Info	db:rz_00358 ROW_EFFECT:0
[2019/10/04 07:24:24]-Info	db:rz_00359 ROW_EFFECT:0
[2019/10/04 07:24:24]-Info	db:rz_00360 ROW_EFFECT:0
[2019/10/04 07:24:25]-Info	db:rz_00361 ROW_EFFECT:0
[2019/10/04 07:24:26]-Info	db:rz_00362 ROW_EFFECT:0
[2019/10/04 07:24:26]-Info	db:rz_00363 ROW_EFFECT:0
[2019/10/04 07:24:27]-Info	db:rz_00364 ROW_EFFECT:0
[2019/10/04 07:24:28]-Info	db:rz_00365 ROW_EFFECT:0
[2019/10/04 07:24:28]-Info	db:rz_00366 ROW_EFFECT:0
[2019/10/04 07:24:29]-Info	db:rz_00367 ROW_EFFECT:0
